,2 years,3 years,4 years,5 years,7 years,10 years,20 years,30 years
2008 06,2.502,2.752,2.935,3.052,3.188,3.29,3.41,3.45
2008 07,2.312,2.513,2.714,2.858,3.033,3.166,3.321,3.373
2008 08,2.408,2.324,2.4,2.522,2.74,2.942,3.188,3.271
2008 09,1.607,1.463,1.659,1.916,2.323,2.669,3.08,3.217
2008 10,1.522,1.565,1.778,2.013,2.4,2.764,3.222,3.376
2008 11,1.285,1.499,1.65,1.776,1.989,2.226,2.578,2.701
2008 12,0.691,1.012,1.303,1.541,1.872,2.148,2.479,2.589
2009 01,0.449,0.756,1.096,1.398,1.841,2.221,2.679,2.832
2009 02,0.52,0.795,1.116,1.404,1.821,2.174,2.595,2.736
2009 03,0.523,0.818,1.129,1.406,1.817,2.175,2.61,2.756
2009 04,0.45,0.76,1.101,1.4,1.832,2.196,2.633,2.779
2009 05,0.467,0.839,1.235,1.585,2.097,2.536,3.065,3.242
2009 06,0.509,0.858,1.221,1.547,2.039,2.478,3.016,3.196
2009 07,0.453,0.726,1.023,1.304,1.758,2.192,2.745,2.932
2009 08,0.466,0.698,0.962,1.225,1.673,2.124,2.72,2.923
2009 09,0.567,0.828,1.084,1.325,1.731,2.155,2.749,2.954
2009 10,0.616,0.89,1.146,1.38,1.777,2.207,2.766,2.855
2009 11,0.47,0.713,0.97,1.213,1.612,2.002,2.508,2.679
2009 12,0.468,0.72,0.991,1.239,1.623,1.972,2.404,2.549
2010 01,0.492,0.742,0.986,1.214,1.603,2.01,2.401,2.333
2010 02,0.376,0.604,0.842,1.073,1.484,1.931,2.345,2.207
2010 03,0.472,0.701,0.925,1.138,1.516,1.941,2.44,2.37
2010 04,0.478,0.697,0.908,1.108,1.46,1.865,2.392,2.381
2010 05,0.35,0.53,0.708,0.88,1.195,1.573,2.12,2.125
2010 06,0.347,0.525,0.702,0.87,1.169,1.509,1.951,1.983
2010 07,0.407,0.522,0.685,0.863,1.18,1.5,1.917,2.057
